30597755,Is chronic kidney disease keeping the heart up all night?,Is chronic kidney disease keeping the heart up all night?
30597745,Dipeptidyl peptidase-4 inhibitors attenuate thyroid-stimulating hormone concentrations.,Dipeptidyl peptidase-4 inhibitors attenuate thyroid-stimulating hormone concentrations.
30597733,Proteasuria-The impact of active urinary proteases on sodium retention in nephrotic syndrome.,"Sodium retention and extracellular volume expansion are typical features of patients with nephrotic syndrome. In recent years, from in vitro data, endoluminal activation of the epithelial sodium channel (ENaC) by aberrantly filtered serine proteases has been proposed as an underlying mechanism. Recently, this concept was supported in vivo in nephrotic mice that were protected from proteolytic ENaC activation and sodium retention by the use of aprotinin for the pharmacological inhibition of urinary serine protease activity. These and other findings from studies in both rodents and humans highlight the impact of active proteases in the urine, or proteasuria, on ENaC-mediated sodium retention and edema formation in nephrotic syndrome. Targeting proteasuria could become a therapeutic approach to treat patients with nephrotic syndrome. However, pathophysiologically relevant proteases remain to be identified. In this review, we introduce the concept of proteasuria to explain tubular sodium avidity and conclude that proteasuria can be considered as a key mechanism of sodium retention in patients with nephrotic syndrome."
30597715,Prevalence and outcomes of non-alcoholic fatty liver disease (NAFLD) among Asian American adults in the United States.,"Non-alcoholic fatty liver disease (NAFLD) affects about 25% of the general population worldwide. Although epidemiology of NAFLD is well studied in the United States, there is paucity of data for the Asian Americans. Our aim was to assess the prevalence and risk factors for NAFLD among Asian Americans."
30597673,Adherence to treatment in allergic rhinitis using mobile technology. The MASK Study.,Mobile technology may help to better understand the adherence to treatment. MASK-rhinitis (Mobile Airways Sentinel NetworK for allergic rhinitis) is a patient-centred ICT system. A mobile phone app (the Allergy Diary) central to MASK is available in 22 countries.
30597658,A psychological intervention (ConquerFear) for treating fear of cancer recurrence: Views of study therapists regarding sustainability.,ConquerFear is a metacognitive intervention for fear of cancer recurrence (FCR) with proven efficacy immmediately and 6 months post-treatment. This qualitative study documented barriers and facilitators to the sustainability of ConquerFear from the perspective of study therapists.
30597636,"Prevalence, determinants, and correlates of coagulation necrosis and contraction band necrosis in donor hearts.",Exploration of pathologic changes in donor hearts and finding the association of pathologic findings with potentially reversible cardiac condition may result in allowing such hearts to recover and be used for transplantation.
30597600,Peripherally acting μ-opioid antagonist for the treatment of opioid-induced constipation: Systematic review and meta-analysis.,"Opioid-induced constipation (OIC) is a frequent adverse event (AE) that impairs patients' quality of life (QOL). Peripherally acting μ-opioid receptor antagonists (PAMORAs) have been recognized as a treatment option for OIC, but the effect consistent across the studies has not been evaluated."
30597590,Feeling and body investigators (FBI): ARFID division-An acceptance-based interoceptive exposure treatment for children with ARFID.,"Individuals with Avoidant Restrictive Food Intake Disorder (ARFID) experience impairing health consequences from insufficient nutritional variety and/or quantity. Early medical conditions and/or somatic symptoms such as abdominal pain may lead some with ARFID to experience somatic sensations as aversive. As such, food avoidance may be part of a broader behavioral repertoire aimed at suppressing bodily sensations. Avoiding these necessary and informative signals (e.g., growls of hunger) may subvert the emergence of healthy self-awareness and self-regulation. Teaching children with ARFID to engage adaptively with bodily sensations may help decrease aversiveness, increase self-awareness, and increase approach behaviors."
30597584,Association of acute myocardial infarction cardiac arrest patient volume and in-hospital mortality in the United States: Insights from the National Cardiovascular Data Registry Acute Coronary Treatment And Intervention Outcomes Network Registry.,Little is known about how differences in out of hospital cardiac arrest patient volume affect in-hospital myocardial infarction (MI) mortality.
30597581,CHA2DS2-VASc score predicts atrial fibrillation recurrence after cardioversion: Systematic review and individual patient pooled meta-analysis.,"Despite progresses in the treatment of the thromboembolic risk related to atrial fibrillation (AF), the management of recurrences remains a challenge."
30597579,Implicit attitudes toward dieting and thinness distinguish fat-phobic and non-fat-phobic anorexia nervosa from avoidant/restrictive food intake disorder in adolescents.,"The majority of individuals with anorexia nervosa (AN) have a fat-phobic (FP-AN) presentation in which they explicitly endorse fear of weight gain, but a minority present as non-fat-phobic (NFP-AN). Diagnostic criteria for avoidant/restrictive food intake disorder (ARFID) specifically exclude fear of weight gain. Differential diagnosis between NFP-AN and ARFID can be challenging and explicit endorsements do not necessarily match internal beliefs."
30597510,Managing Anti-Platelet Therapy in Thrombocytopaenic Patients with Haematological Malignancy: A Multinational Clinical Vignette-Based Experiment.,"Data on anti-platelet therapy (APT) for prevention of atherothrombotic events in thrombocytopaenic cancer patients is lacking. We aimed to identify patient and physician characteristics associated with APT management in thrombocytopaenic patients with haematological malignancy. A clinical vignette-based experiment was designed. Eleven haematologists were interviewed, identifying five variable categories. Next, 18 hypothetical vignettes were generated. Each physician received three vignettes and chose to: hold all APT; continue APT without platelet transfusion support; or continue APT with platelet transfusion support. The survey was distributed to haematologists and thrombosis specialists in three countries. Multivariate cluster robust Poisson regression models were used to calculate relative risks (RRs) of using one management option (over the other) for each variable in comparison to a reference variable. A total of 145 physicians answered 434 cases. Clinicians were more likely to hold APT in case of 20,000/µL platelets (vs. 40,000/µL; RR for continuing: 0.82 [95% confidence interval: 0.75-0.91]), recent major gastrointestinal bleeding (vs. none; RR 0.81 [0.72-0.92]) and when the physician worked at a university-affiliated community hospital (vs. non-academic community hospital; RR 0.84 [0.72-0.98]). Clinicians were more likely to continue APT in ST elevation myocardial infarction with dual APT (vs. unstable angina with single APT; RR 1.31 [1.18-1.45]) and when there were institutional protocols guiding management (vs. none; RR 1.15 [1.03-1.27]). When APT was continued, increased platelet transfusion targets were used in 34%. In summary, the decision process is complex and affected by multiple patient and physician characteristics. Platelet transfusions were frequently chosen to support APT, although no evidence supports this practice."
30597509,Racial Differences in Ischaemia/Bleeding Risk Trade-Off during Anti-Platelet Therapy: Individual Patient Level Landmark Meta-Analysis from Seven RCTs.," Prolonged dual anti-platelet therapy (DAPT) is intended to reduce ischaemic events, at the cost of an increased bleeding risk in patients undergoing percutaneous coronary intervention (PCI). In this study, we evaluated whether race influences the ischaemia/bleeding risk trade-off."
30597508,The Prognostic Value of Renal Function in Acute Pulmonary Embolism-A Multi-Centre Cohort Study.," Haemodynamic alterations caused by acute pulmonary embolism (PE) may affect multi-organ function including kidneys. This multi-centre, multinational cohort study aimed to validate the prognostic significance of estimated glomerular filtration rate (eGFR) and its potential additive value to the current PE risk assessment algorithms."
30597494,Fast-Track Procedures in Major Orthopaedic Surgery: Is Venous Thromboembolism Prophylaxis Still Mandatory?,
30597413,Age estimation based on the volume change in the maxillary premolar crown using micro CT.,"Age is often estimated using teeth because numerous external and internal changes appear due to aging. The purpose of this study was to investigate an age estimation method based on the volume ratio of the internal structure of the crown. 61 maxillary first premolars and 50 maxillary second premolars from subjects aged 20-79 years old were used. Micro CT, which can be used to analyze teeth in a non-destructive manner with high sensitivity, was employed in the present study. In consideration of individual differences among subjects, the volume ratio was calculated for the following four items: The pulp chamber was calculated separately based on the presence of enamel.In order to estimate age, regression analysis was conducted with the actual age as the dependent variable and each volume ratio as the independent variable. As a result, the highest correlation was found with PVR (E<sup>-</sup>) for each measurement item. Therefore, the regression equation using the volume change of the maxillary premolar crown as an index was as follows: Age = -12.43 × 4: PVR (E<sup>-</sup>) + 69.85. Age = -12.94 × 5: PVR (E<sup>-</sup>) + 72.54."
30597344,Natural history and clinical outcomes in patients with portal vein thrombosis by etiology: A retrospective cohort study.,"Portal vein thrombosis (PVT) is an unusual-site thrombosis commonly encountered in patients with malignancies, cirrhosis, and acute abdominal inflammatory conditions (AIC). Current recommendations suggest that anticoagulation may improve recanalization rates but there is limited information on venous thromboembolism (VTE) recurrence rates and whether the etiologies of PVT respond similarly with anticoagulation."
